Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Frozen Light,"Autumn 2022 R&D - Exploration of sound, music and set design in the creation of inclusive sensory narratives","£29,870",18-Aug-22,August,Q2,South East,Norwich,Theatre,"£30,000 and below",
Bedford Players Trust,Game Play 22-24,"£30,000",18-Aug-22,August,Q2,South East,Bedford,Theatre,"£30,000 and below",
Katie Dale-Everett,How can we build inclusive digital and movement-based artistic settings where people can contribute toward a shared vision and discover their sense of play and creativity?,"£30,000",18-Aug-22,August,Q2,South East,Lewes,Dance,"£30,000 and below",
BALLO ARTHUR PITA LTD,Ten Sorry Tales Remount,"£30,000",18-Aug-22,August,Q2,South East,Dover,Dance,"£30,000 and below",
Ditchling Museum of Art + Craft,Shoji Hamada: A Japanese Potter In Ditchling,"£24,500",18-Aug-22,August,Q2,South East,Lewes,Visual arts,"£30,000 and below",
Mediale,Selby Skills & Capacity Building Project,"£26,676",17-Aug-22,August,Q2,North,Selby,Combined arts,"£30,000 and below",
"Faculty of Arts, Design and Creative Industries",Blue Wave,"£29,522",17-Aug-22,August,Q2,North,Sunderland,Dance,"£30,000 and below",
Young Playwrights,inteGREAT,"£28,314",17-Aug-22,August,Q2,North,East Riding of Yorkshire,Theatre,"£30,000 and below",
Linus Ljunggren,Diana: The Untold and Untrue Story,"£17,225",17-Aug-22,August,Q2,London,Haringey,Theatre,"£30,000 and below",
Coalesce Dance Theatre,Lancashire Communities Dance Co-Creation R&D,"£18,762",17-Aug-22,August,Q2,North,Trafford,Dance,"£30,000 and below",
Ella Dale,STABLE,"£5,513",17-Aug-22,August,Q2,London,Merton,Theatre,"£30,000 and below",
Lil Angolas,Lil Angolas in collaboration with CARGO,"£30,000",17-Aug-22,August,Q2,London,Newham,Combined arts,"£30,000 and below",
Lizz Brady,Research for a DIY toolkit & disability access,"£14,465",17-Aug-22,August,Q2,North,Wigan,Visual arts,"£30,000 and below",
Jioni Warner,Johnnycakes,"£7,595",17-Aug-22,August,Q2,North,Leeds,Visual arts,"£30,000 and below",
Ian Smith,Eat,"£10,585",17-Aug-22,August,Q2,North,Northumberland,Theatre,"£30,000 and below",
Lauren Bell,Identities Tour,"£26,316",17-Aug-22,August,Q2,North,Warrington,Theatre,"£30,000 and below",
Ben Richardson,Waves Festival,"£28,080",17-Aug-22,August,Q2,North,Sunderland,Combined arts,"£30,000 and below",Supporting Grassroots Live Music
Perception Theatre LTD,"Research, Development and Co-Creation of Trap: An Applied Theatre Production centred around County Lines and CCE","£26,753",17-Aug-22,August,Q2,North,Knowsley,Theatre,"£30,000 and below",
Angel Shed Theatre Company,Our Stories,"£12,025",17-Aug-22,August,Q2,London,Islington,Theatre,"£30,000 and below",
Silvia Demetilla,London Spanish Book & Zine Fair,"£4,000",17-Aug-22,August,Q2,London,Richmond upon Thames,Literature,"£30,000 and below",
Blues and Roots Ensemble,North and South,"£15,364",17-Aug-22,August,Q2,London,Lambeth,Music,"£30,000 and below",
Hospital Rooms,Green Dreams at Rosebud,"£25,000",17-Aug-22,August,Q2,London,Tower Hamlets,Visual arts,"£30,000 and below",
Rob Johnston,Lost and Found,"£9,700",17-Aug-22,August,Q2,North,Trafford,Theatre,"£30,000 and below",
Megan Brewer,fester resubmission,"£20,484",16-Aug-22,August,Q2,London,Southwark,Theatre,"£30,000 and below",
Random Opera Company,Marianna Bottini - Elena e Gerardo World Premiere,"£14,990",16-Aug-22,August,Q2,Midlands,Rugby,Music,"£30,000 and below",
Proto-type Theater,Proto-type Theater: Dead Cats UK Touring (Truth to Power),"£28,146",16-Aug-22,August,Q2,Midlands,Lincoln,Theatre,"£30,000 and below",
Art in Flux C.I.C.,"Embodiment: co-creation, workshops & events","£21,270",16-Aug-22,August,Q2,London,Kensington and Chelsea,Combined arts,"£30,000 and below",
FOIVOS DOUSOS,A Queer Trans* Swan Lake Adaptation (Musical Theatre),"£25,116",16-Aug-22,August,Q2,London,Hackney,Theatre,"£30,000 and below",
Rural Art Hub,Mother Shippon,"£7,658",16-Aug-22,August,Q2,Midlands,Shropshire,Visual arts,"£30,000 and below",
West Lindsey District Council,West Lindsey Voices,"£25,994",16-Aug-22,August,Q2,Midlands,West Lindsey,Combined arts,"£30,000 and below",
Roger Robinson,Home Is Not A Place Live Event Series,"£28,469",16-Aug-22,August,Q2,Midlands,West Northamptonshire,Literature,"£30,000 and below",
Kelly Thorne,Ceramic street art Project,"£15,000",16-Aug-22,August,Q2,South West,Cornwall,Visual arts,"£30,000 and below",
Natasha Stanic Mann,The Return rehearsals; tour; workshops (resubmission),"£9,482",16-Aug-22,August,Q2,London,Brent,Theatre,"£30,000 and below",
Ellena West,Voice Notes to My Child Self R&D,"£22,480",16-Aug-22,August,Q2,South East,Tendring,Literature,"£30,000 and below",
Dima Karout,Internal Landscapes - Community Building Programme in the London Borough of Lewisham,"£14,500",16-Aug-22,August,Q2,London,Southwark,Combined arts,"£30,000 and below",
Stanley Halls,LGBTQ+ Artist Development Programme 2023,"£29,950",16-Aug-22,August,Q2,London,Croydon,Theatre,"£30,000 and below",
Talent Is Timeless,Talent Is Timeless - National Songwriting Workshops & Education,"£29,550",16-Aug-22,August,Q2,South East,Islington,Music,"£30,000 and below",
Spiltmilk Dance,Care Home Christmas Development & Touring,"£30,000",16-Aug-22,August,Q2,Midlands,Warwick,Dance,"£30,000 and below",
Art and Energy CIC,BuryTheGiant.club,"£25,000",16-Aug-22,August,Q2,South West,Exeter,Combined arts,"£30,000 and below",
Tennesa Young,MUTED AND MELANATED (The R&D Phase 1),"£50,000",16-Aug-22,August,Q2,Midlands,Birmingham,Theatre,"£30,000 and below",
Helen Bovey,Snow Queen: Staging & Co-Creating,"£28,938",16-Aug-22,August,Q2,South West,Teignbridge,Theatre,"£30,000 and below",
Somerset Youth Theatre CIC,Organisational development SYT CIC,"£33,077",16-Aug-22,August,Q2,South West,Somerset West and Taunton,Theatre,"£30,000 and below",
GIANT GALLERY,GIANT GALLERY,"£200,000",11-Aug-22,August,Q2,London,Islington,Visual arts,"Above £30,000 - Place Partnership project",
Soumik Datta Arts,Hope Notes Autumn 2022 Tour,"£29,291",11-Aug-22,August,Q2,South West,Stroud,Music,"£30,000 and below",
Afrika Eye CIC,Untold Stories Resubmission,"£19,742",11-Aug-22,August,Q2,South West,"Bristol, City of",Combined arts,"£30,000 and below",
Lila Dance,Resubmission: Space to Shine,"£31,500",11-Aug-22,August,Q2,South West,"Bournemouth, Christchurch and Poole",Dance,"£30,000 and below",
"Rotherham Museums, Arts & Heritage","Dishes of Rotherham: Old Plates, Diverse Cooks.","£27,534",10-Aug-22,August,Q2,North,Rotherham,Museums,"£30,000 and below",
Salford City Council,Lightwaves 2022,"£99,950",10-Aug-22,August,Q2,North,Salford,Combined arts,"Above £30,000",
Your Trust,A Tall Order!,"£28,220",10-Aug-22,August,Q2,North,Rochdale,Visual arts,"£30,000 and below",
Alys Williams,The Light House (R&D),"£16,969",10-Aug-22,August,Q2,North,Calderdale,Theatre,"£30,000 and below",
Up The Road Theatre Limited,Beneath the Banner - Coal Mining Communities,"£29,995",10-Aug-22,August,Q2,South East,Dover,Theatre,"£30,000 and below",
Dorian Kelly,BIG City LightNight,"£23,910",10-Aug-22,August,Q2,South East,Colchester,Combined arts,"£30,000 and below",
African Night Fever,Africa Take Part II,"£24,950",10-Aug-22,August,Q2,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Sophie Gresswell,On The Wings of a Wirebird,"£22,834",10-Aug-22,August,Q2,South East,Luton,Visual arts,"£30,000 and below",
Teatro Pomodoro,Star Of Wonder,"£32,500",10-Aug-22,August,Q2,North,Liverpool,Theatre,"£30,000 and below",
Joseph Yvan Toonga,Re-rehearsal and tour of Born to Exist for national impact,"£27,828",10-Aug-22,August,Q2,London,Newham,Dance,"£30,000 and below",
Peckham Digital CIC,Peckham Digital 22,"£17,286",10-Aug-22,August,Q2,London,Southwark,Combined arts,"£30,000 and below",
The Women's Art Collection at Murray Edwards College,Unlocking The Women's Art Collection: Research & Digitisation,"£25,500",10-Aug-22,August,Q2,South East,Cambridge,Museums,"£30,000 and below",Unlocking Collections
Des Reynolds,Inclusive Theatre project,"£21,300",10-Aug-22,August,Q2,South East,East Suffolk,Theatre,"£30,000 and below",
Creative Economy Team,Growing Colour Together,"£99,870",10-Aug-22,August,Q2,North,Kirklees,Visual arts,"Above £30,000",
China Arts Ltd,East Asia Music Summer School,"£15,115",10-Aug-22,August,Q2,London,Croydon,Music,"£30,000 and below",Supporting Grassroots Live Music
Chisato Minamimura,Tattoo x Women R&D,"£39,290",10-Aug-22,August,Q2,London,Westminster,Dance,"£30,000 and below",
Thom Bailey,Community Production,"£15,000",10-Aug-22,August,Q2,South East,Great Yarmouth,Theatre,"£30,000 and below",
London Borough of Tower Hamlets,A Season of Bangla Drama 2022,"£30,000",10-Aug-22,August,Q2,London,Tower Hamlets,Theatre,"£30,000 and below",
Jack McNeill,Flight // Live,"£19,551",10-Aug-22,August,Q2,North,South Lakeland,Combined arts,"£30,000 and below",
Separate Doors,Directing Tomorrow's Theatre,"£116,780",10-Aug-22,August,Q2,South East,Eastbourne,Theatre,"Above £30,000",
Sarah Malin,Velkom to Inklandt,"£14,600",10-Aug-22,August,Q2,London,Lambeth,Theatre,"£30,000 and below",
Music Action International,"Test, Improve & Sustain","£30,000",10-Aug-22,August,Q2,North,Manchester,Music,"£30,000 and below",
Kate Aldridge,Forest Futures III,"£6,975",10-Aug-22,August,Q2,South East,Canterbury,Visual arts,"£30,000 and below",
Children's & Parents Carnival Association,Magnifico Mexico,"£7,100",10-Aug-22,August,Q2,London,Kensington and Chelsea,Combined arts,"£30,000 and below",
natalie wardle,Kick Like A Girl,"£25,400",10-Aug-22,August,Q2,North,Manchester,Music,"£30,000 and below",
Pierre Bureau,Stories We Tell,"£10,000",10-Aug-22,August,Q2,London,Tower Hamlets,Visual arts,"£30,000 and below",
Woodbridge Festival,Woodbridge Festival of Art and Music 2022,"£3,500",10-Aug-22,August,Q2,South East,East Suffolk,Combined arts,"£30,000 and below",
Charlotte Bean,"What lies beneath us is before us, What lies before us is beneath us","£16,398",10-Aug-22,August,Q2,South East,Folkestone and Hythe,Combined arts,"£30,000 and below",
Jenny Roche-Newton,Natya Dance Project,"£4,800",10-Aug-22,August,Q2,North,Manchester,Dance,"£30,000 and below",
Norfolk Ponds Project,Restoring and exploring the secret life of ponds,"£19,500",10-Aug-22,August,Q2,South East,South Norfolk,Combined arts,"£30,000 and below",
Wen Feng Jasmine Teo,These Demons Production Showcase,"£30,400",9-Aug-22,August,Q2,London,Camden,Theatre,"£30,000 and below",
Rebecca Douglass,'Somnambulist for an Ensemble' - a Screendance commission by Festival International de Vidéo Danse de Bourgogne,"£8,353",9-Aug-22,August,Q2,London,Haringey,Dance,"£30,000 and below",
CASA Latin American Theatre Festival,CASA LAB,"£35,000",9-Aug-22,August,Q2,London,Islington,Combined arts,"£30,000 and below",
Mirliton Productions,Making Tracks,"£65,000",9-Aug-22,August,Q2,London,Haringey,Music,"Above £30,000",
Makeda McMillan,Freedom,"£22,607",9-Aug-22,August,Q2,London,Waltham Forest,Literature,"£30,000 and below",
Thumbs Down,The Kind Refuser,"£13,976",9-Aug-22,August,Q2,London,Barking and Dagenham,Theatre,"£30,000 and below",
Chisenhale Art Place,Into The Wild 2022 - 2023,"£40,800",9-Aug-22,August,Q2,London,Tower Hamlets,Visual arts,"£30,000 and below",
Melly Still,The Gretchen Question - Origination 2022,"£49,990",9-Aug-22,August,Q2,London,Lewisham,Theatre,"Above £30,000",
Castleton Historical Society,The Castleton Historical Society,"£3,690",8-Aug-22,August,Q2,Midlands,High Peak,Museums,"£30,000 and below",
Vanessa Brown,Say Something Collective Project 1,"£27,980",8-Aug-22,August,Q2,Midlands,West Northamptonshire,Music,"£30,000 and below",
Rage Arts,The Lost Story Duo,"£30,000",8-Aug-22,August,Q2,Midlands,Dudley,Theatre,"£30,000 and below",
Room 13 Hareclive,Outsider Art,"£54,400",8-Aug-22,August,Q2,South West,"Bristol, City of",Visual arts,"Above £30,000",
Kathleen Smith,Creating Spaces,"£18,924",8-Aug-22,August,Q2,Midlands,Boston,Visual arts,"£30,000 and below",
Deborah Alma,The Poetry Pharmacy - Poetry Engagement Programme 2022 - 2023,"£26,279",8-Aug-22,August,Q2,Midlands,Shropshire,Literature,"£30,000 and below",
N7 Community Choir,TSDS dissemination project,"£9,150",4-Aug-22,August,Q2,London,Islington,Music,"£30,000 and below",
Brighton Photo Fringe,Newtopia,"£29,990",3-Aug-22,August,Q2,South East,Brighton and Hove,Visual arts,"£30,000 and below",
Daniel Hill,Rapunzel: Care Scheme and Community Tour,"£10,950",3-Aug-22,August,Q2,South East,Chichester,Theatre,"£30,000 and below",
Hester Welch,Nest (Resubmission - June '22),"£14,137",3-Aug-22,August,Q2,South West,"Bristol, City of",Theatre,"£30,000 and below",
Victoria Moran,In Her Strength R+D,"£22,657",3-Aug-22,August,Q2,South East,Windsor and Maidenhead,Theatre,"£30,000 and below",
This New Ground,We Rise,"£28,733",3-Aug-22,August,Q2,South West,Portsmouth,Visual arts,"£30,000 and below",
Tmesis Theatre,R & D new work,"£22,709",3-Aug-22,August,Q2,North,Liverpool,Theatre,"£30,000 and below",
Annis Joslin,SHIFT,"£25,230",3-Aug-22,August,Q2,South East,Worthing,Visual arts,"£30,000 and below",
Daniel Lukehurst,Ta/To/Me & Eye.Cannes.Sea.Us Double Bill preparation,"£29,312",3-Aug-22,August,Q2,North,Birmingham,Dance,"£30,000 and below",
The HandleBards,"The HandleBards: Creativity, confidence & wellbeing in Heeley","£30,000",3-Aug-22,August,Q2,North,Wigan,Theatre,"£30,000 and below",
18 Hours Ltd,Journeys Festival of Dance 2022,"£24,934",3-Aug-22,August,Q2,South East,Rother,Dance,"£30,000 and below",
Found In Translation Theatre Company,Bring Back Chainmail Tour,"£29,947",3-Aug-22,August,Q2,South East,Colchester,Theatre,"£30,000 and below",
Xenia Aidonopoulou,Presenting & Developing dance theatre for babies & their grown ups,"£29,800",3-Aug-22,August,Q2,South East,North Hertfordshire,Dance,"£30,000 and below",
Treehouse Theatre,Pantomime Creation: Jack and the Beanstalk #2,"£19,551",3-Aug-22,August,Q2,South West,"Bournemouth, Christchurch and Poole",Theatre,"£30,000 and below",
Charlie Morrissey,Building Creative Communities,"£29,920",3-Aug-22,August,Q2,North,Calderdale,Dance,"£30,000 and below",
conor aylward,Mindfulness Lite,"£22,259",3-Aug-22,August,Q2,North,Manchester,Theatre,"£30,000 and below",
MUSIC@MALLING,Music@Malling Festival and Outreach September - November 2022,"£30,000",3-Aug-22,August,Q2,South East,Tonbridge and Malling,Music,"£30,000 and below",
Robert Redway,United Freedom Collective,"£8,430",3-Aug-22,August,Q2,South East,Thanet,Music,"£30,000 and below",
Bridgwater Carnival,Bridgwater Carnival Skills and Artistic Development Programme 2022,"£25,825",3-Aug-22,August,Q2,South West,Sedgemoor,Combined arts,"£30,000 and below",
Big Brum Theatre in Education Company,Along the Silk Road - Resubmission,"£29,850",3-Aug-22,August,Q2,Midlands,Birmingham,Theatre,"£30,000 and below",
UNDEREXPOSED ARTS,THE NEXT GEN,"£30,000",3-Aug-22,August,Q2,London,Crawley,Visual arts,"£30,000 and below",
Divya Kasturi,"#OurVarnam - Bharatanatyam creativity, access and inspiration","£28,795",3-Aug-22,August,Q2,South East,Stevenage,Dance,"£30,000 and below",
Surtal Arts,Derby Season of Light (DSOL) 2022,"£29,102",3-Aug-22,August,Q2,Midlands,Derby,Combined arts,"£30,000 and below",
Kash Patel,Diwali in Middlesbrough 2022,"£30,000",3-Aug-22,August,Q2,North,Middlesbrough,Combined arts,"£30,000 and below",
Ricky Dukes,Digital Integration R&D,"£21,001",3-Aug-22,August,Q2,Midlands,Dudley,Theatre,"£30,000 and below",
Debbion Burkmar,Metal Health Awareness Week - Grief,"£25,335",3-Aug-22,August,Q2,Midlands,Dudley,Visual arts,"£30,000 and below",
Fringe! Queer Film & Arts Fest,Arts @ Fringe!,"£29,613",3-Aug-22,August,Q2,London,Hackney,Combined arts,"£30,000 and below",
BeatFeet Limited,Creative & Cultural Cascade II,"£25,694",3-Aug-22,August,Q2,Midlands,Rushcliffe,Combined arts,"£30,000 and below",
Alfie Fox,leeds access cloaks,"£28,000",3-Aug-22,August,Q2,North,Hambleton,Visual arts,"£30,000 and below",
Rebecca Plotnek,Yankl and the Beanstalk Rehearsals and Premiere,"£33,545",3-Aug-22,August,Q2,South West,Birmingham,Theatre,"£30,000 and below",
One Love syndicate,One Love vibes,"£4,000",2-Aug-22,August,Q2,London,Brent,Music,"£30,000 and below",
Christopher Reyes,"Developing Creative Filipino platform, Maharlika UK: 2nd wave","£23,839",2-Aug-22,August,Q2,London,Newham,Combined arts,"£30,000 and below",
Mencia Santos Echart,Where The Heart Is,"£2,481",2-Aug-22,August,Q2,London,Waltham Forest,Theatre,"£30,000 and below",
Sarah Arden,The Dinosaur Show Development & Tour 2022,"£33,500",2-Aug-22,August,Q2,London,Richmond upon Thames,Theatre,"£30,000 and below",
Van Gogh House & Gallery,NOIRES,"£8,752",2-Aug-22,August,Q2,London,Lambeth,Visual arts,"£30,000 and below",
Jasmin Kent Rodgman,RED,"£14,595",2-Aug-22,August,Q2,London,Hackney,Combined arts,"£30,000 and below",
Darren Johnston,Portal Phase 1 Meta,"£29,950",2-Aug-22,August,Q2,London,Barnet,Visual arts,"£30,000 and below",
Daniel Baker,After London: Mental Health & Queer Moving Image,"£28,515",2-Aug-22,August,Q2,London,Hackney,Visual arts,"£30,000 and below",
SDNA Ltd,Hackney Lights,"£28,750",2-Aug-22,August,Q2,London,Hackney,Visual arts,"£30,000 and below",
Hannah Lyall,We're Few and Far Between,"£9,610",2-Aug-22,August,Q2,London,Hackney,Theatre,"£30,000 and below",
mark grey,Windrush The Betrayal Tour,"£30,000",2-Aug-22,August,Q2,London,Croydon,Theatre,"£30,000 and below",
